listing_id,date
8739,2016-03-10
8739,2016-03-18
8739,2016-03-20
8739,2016-03-26
8739,2016-04-02
8739,2016-04-08
8739,2016-04-11
8739,2016-04-15
8739,2016-04-16
8739,2016-04-24
8739,2016-05-15
8739,2016-05-16
8739,2016-05-29
8739,2016-06-04
8739,2016-06-08
8739,2016-06-16
8739,2016-06-26
8739,2016-06-28
8739,2016-07-01
8739,2016-07-04
8739,2016-07-10
8739,2016-07-15
8739,2016-07-15
8739,2016-07-25
8739,2016-07-29
8739,2016-08-06
8739,2016-08-15
8739,2016-08-18
8739,2016-08-23
8739,2016-08-25
8739,2016-08-27
8739,2016-08-29
8739,2016-09-04
8739,2016-09-13
8739,2016-09-15
8739,2016-09-17
8739,2016-09-19
8739,2016-09-22
8739,2016-10-09
8739,2016-10-10
8739,2016-10-16
8739,2016-10-18
8739,2016-10-19
8739,2016-10-24
8739,2016-10-25
8739,2016-10-30
8739,2016-11-02
8739,2016-11-06
8739,2016-11-16
8739,2016-11-21
8739,2016-12-03
8739,2016-12-07
8739,2016-12-12
8739,2016-12-14
8739,2016-12-15
8739,2016-12-20
8739,2016-12-29
8739,2017-01-01
8739,2017-01-02
8739,2017-01-06
8739,2017-01-08
8739,2017-01-09
8739,2017-01-10
8739,2017-01-11
8739,2017-01-14
8739,2017-01-20
8739,2017-01-29
8739,2017-02-04
8739,2017-02-08
8739,2017-02-13
8739,2017-02-17
8739,2017-02-23
8739,2017-02-24
8739,2017-02-26
8739,2017-03-03
8739,2017-03-06
8739,2017-03-13
8739,2017-03-15
8739,2017-03-17
8739,2017-03-21
16686600,2017-01-11
3721167,2014-08-26
10812630,2016-01-30
10812630,2016-02-05
10812630,2016-02-08
10812630,2016-02-12
10812630,2016-02-14
10812630,2016-02-20
10812630,2016-03-05
10812630,2016-03-10
10812630,2016-03-12
10812630,2016-03-17
10812630,2016-03-19
10812630,2016-03-20
10812630,2016-03-24
10812630,2016-03-25
10812630,2016-04-01
10812630,2016-04-06
10812630,2016-04-08
10812630,2016-04-13
10812630,2016-04-17
10812630,2016-04-20
10812630,2016-04-30
10812630,2016-05-02
10812630,2016-05-04
10812630,2016-05-08
10812630,2016-05-10
10812630,2016-05-12
10812630,2016-05-26
10812630,2016-05-30
10812630,2016-06-04
10812630,2016-06-05
10812630,2016-06-13
10812630,2016-06-17
10812630,2016-06-23
10812630,2016-06-24
10812630,2016-06-26
10812630,2016-06-30
10812630,2016-07-02
10812630,2016-07-13
10812630,2016-07-20
10812630,2016-07-27
10812630,2016-08-02
10812630,2016-08-08
10812630,2016-08-09
10812630,2016-08-16
10812630,2016-08-28
10812630,2016-08-30
10812630,2016-09-02
10812630,2016-09-15
10812630,2016-09-17
10812630,2016-09-22
10812630,2016-09-24
10812630,2016-09-28
10812630,2016-10-06
10812630,2016-10-07
10812630,2016-10-14
10812630,2016-10-19
10812630,2016-10-20
10812630,2016-10-23
10812630,2016-10-29
10812630,2016-11-05
10812630,2016-11-08
10812630,2016-11-13
10812630,2016-11-18
10812630,2016-11-20
10812630,2016-11-23
10812630,2016-11-26
10812630,2016-11-28
10812630,2016-12-25
10812630,2016-12-30
10812630,2017-01-02
10812630,2017-01-03
10812630,2017-01-07
10812630,2017-01-08
10812630,2017-01-09
10812630,2017-01-15
10812630,2017-01-19
10812630,2017-01-23
10812630,2017-01-29
10812630,2017-02-02
10812630,2017-02-04
10812630,2017-02-10
10812630,2017-02-24
10812630,2017-03-11
10812630,2017-03-18
10812630,2017-03-21
8241372,2015-09-12
8241372,2015-09-14
8241372,2015-09-17
8241372,2015-09-23
8241372,2015-09-25
8241372,2015-09-27
8241372,2015-09-30
8241372,2015-10-04
8241372,2015-10-06
8241372,2015-10-13
8241372,2015-10-18
8241372,2015-10-25
8241372,2015-10-27
8241372,2015-10-30
8241372,2015-11-15
8241372,2015-11-19
8241372,2016-01-02
8241372,2016-02-16
8241372,2016-03-05
8241372,2016-03-09
8241372,2016-03-19
8241372,2016-03-26
8241372,2016-03-30
8241372,2016-04-02
8241372,2016-04-11
8241372,2016-04-14
8241372,2016-04-21
8241372,2016-04-26
8241372,2016-04-28
8241372,2016-05-08
8241372,2016-05-14
8241372,2016-05-19
8241372,2016-05-22
8241372,2016-05-24
8241372,2016-05-27
8241372,2016-06-11
8241372,2016-06-15
8241372,2016-06-19
8241372,2016-06-23
8241372,2016-06-27
8241372,2016-07-01
8241372,2016-07-06
8241372,2016-07-13
8241372,2016-07-14
8241372,2016-07-24
8241372,2016-08-01
8241372,2016-08-03
8241372,2016-08-10
8241372,2016-08-17
8241372,2016-08-23
8241372,2016-08-29
8241372,2016-09-08
8241372,2016-09-29
8241372,2016-10-01
8241372,2016-10-16
8241372,2016-10-22
8241372,2016-11-13
8241372,2017-01-14
8241372,2017-02-11
8241372,2017-03-02
11620718,2016-03-17
11620718,2016-03-27
11620718,2016-04-22
11620718,2016-05-04
11620718,2016-05-09
11620718,2016-05-13
11620718,2016-05-21
11620718,2016-05-26
11620718,2016-06-03
11620718,2016-06-05
11620718,2016-06-09
11620718,2016-06-15
11620718,2016-06-18
11620718,2016-06-23
11620718,2016-06-29
11620718,2016-07-06
11620718,2016-07-17
11620718,2016-07-22
11620718,2016-07-31
11620718,2016-08-04
11620718,2016-08-11
11620718,2016-08-19
11620718,2016-09-04
11620718,2016-09-05
11620718,2016-09-12
11620718,2016-09-17
11620718,2016-09-22
11620718,2016-09-27
11620718,2016-09-30
11620718,2016-10-13
11620718,2016-11-07
11620718,2016-11-11
11620718,2016-12-20
11620718,2017-01-13
11620718,2017-01-20
11620718,2017-02-04
11620718,2017-02-15
11620718,2017-02-22
11620718,2017-02-22
11620718,2017-02-22
11620718,2017-02-22
11620718,2017-02-22
11620718,2017-02-24
11620718,2017-03-03
11620718,2017-03-13
8779243,2015-11-23
8779243,2015-12-28
