id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17460676,"Soulful, spacious three-room apartment with garden",1491222,Tatjana & Rogier,,Bijlmer-Oost,52.31052812442698,4.971338114354799,Entire home/apt,120,3,1,2017-03-19,1,1,322
12023314,Sunny Vintage Apartment,46224605,Ricky,,Bijlmer-Oost,52.321851249294134,4.974270640821966,Entire home/apt,99,3,27,2017-03-29,2.39,1,138
12680964,"Flat, 15min metro Amsterdam center",56894783,Lola,,Bijlmer-Oost,52.32104252028143,4.977695125471293,Private room,30,1,3,2016-06-27,0.27,1,0
16060513,Cozy room in the vibrant area of Amsterdam,96074261,Masha,,Bijlmer-Oost,52.32256252152332,4.97225033857348,Private room,50,2,1,2016-12-30,0.32,3,0
6345602,GroundFloor Appartment in Amsterdam,33050212,Claes,,Bijlmer-Oost,52.3186501651247,4.977307164547889,Entire home/apt,120,2,19,2016-08-17,0.85,1,0
16682109,Sunny and cozy room close to metro,33224022,Olmo,,Bijlmer-Oost,52.321739484272406,4.9785224199595,Private room,40,1,4,2017-03-06,1.54,1,269
2942229,An stylish room in a green area,1271678,Andrea,,Bijlmer-Oost,52.324548142399564,4.975968402539098,Private room,65,2,186,2017-03-27,5.27,1,231
12289041,Cozy room in a quiet neighborhood,12308050,Dan&Oxana,,Bijlmer-Oost,52.32378862157053,4.981497041813799,Private room,55,3,9,2017-02-17,0.78,2,332
13986172,Cosy House in quite Area,83473127,Malak,,Bijlmer-Oost,52.313327504957094,4.972282262821286,Entire home/apt,36,17,0,,,1,7
9268952,"Big apartment, 110m², 2 bedrooms, 2wc,free parking",48144218,Paul,,Bijlmer-Oost,52.32127464362183,4.9696730624067875,Entire home/apt,125,2,27,2017-03-05,1.68,1,0
13054514,Comfortable light 90 sq mtr apartment with view,72273355,Marije,,Bijlmer-Oost,52.321494807579306,4.978443345331418,Entire home/apt,115,3,8,2016-09-13,0.86,2,0
16139419,Twin/Double Room in Amsterdam Zuidoost,105300814,Kerstin N,,Bijlmer-Oost,52.31778062786303,4.973615866623124,Private room,29,2,12,2017-03-20,3.40,2,22
14760407,"Nice & peaceful apt w/ garden, 20min from city ctr",92036157,Margot & Gerwin,,Bijlmer-Oost,52.319803702004215,4.982041118985275,Entire home/apt,98,2,10,2017-03-12,1.48,1,34
13711830,Amsterdam 96 m2 family Apartment,80013770,Willem And Tahirah,,Bijlmer-Oost,52.31779549280515,4.980784324148709,Entire home/apt,130,3,10,2017-03-12,1.44,1,48
10907707,Lovely room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.31760099667676,4.985381723329465,Private room,40,3,67,2017-03-22,4.84,2,195
12272272,King  bed room near metro station,12308050,Dan&Oxana,,Bijlmer-Oost,52.32333428485076,4.977622366092019,Private room,58,3,16,2017-03-19,1.37,2,330
16990775,Single Room or Twin in Amsterdam Zuidoost,105300814,Kerstin N,,Bijlmer-Oost,52.31913379485533,4.973888995186049,Private room,33,2,2,2017-03-19,1.71,2,36
16761395,Susan BnB,111244373,Susan,,Bijlmer-Oost,52.32281243094467,4.964293317174686,Private room,50,1,8,2017-03-19,3.81,1,311
10860856,Nice room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.31781329483963,4.98580325507547,Private room,45,3,58,2017-03-27,4.17,2,152
9038396,Nice appartment / free parking,7697086,Melanie,,Bijlmer-Oost,52.323287388827,4.966810792092373,Entire home/apt,55,2,3,2015-11-23,0.18,1,0
17019247,Big private room near Metro station,59314690,Andrei,,Bijlmer-Oost,52.320532779369955,4.969337172329982,Private room,40,2,1,2017-03-28,1,1,13
7880299,Spacious apartment next to metro,41519829,Marly,,Bijlmer-Oost,52.32344011082727,4.972190539578077,Entire home/apt,85,2,7,2016-09-29,0.39,1,0
3522143,Quiet summer apartment,17736293,Eefje,,Bijlmer-Oost,52.324584742919754,4.978723905390833,Entire home/apt,50,3,3,2015-08-04,0.15,1,0
17820612,Studio 15 min away from the city,40095142,Nurali,,Bijlmer-Oost,52.31407824803548,4.97601383854,Entire home/apt,53,3,0,,,1,34
17261479,"Spacious Studio, Free Parking!",116362504,Nicolas,,Bijlmer-Oost,52.32419547733488,4.959921547829649,Private room,88,1,4,2017-03-20,3.33,1,149
15970340,Spacious Apartment in the vibrant area of A'dam,96074261,Masha,,Bijlmer-Oost,52.321369270996186,4.972921344837026,Entire home/apt,400,2,0,,,3,0
17874192,Good location to center,31217090,Wang,,Bijlmer-Oost,52.321014991377496,4.9699772962054105,Entire home/apt,220,1,0,,,1,166
16333022,2 double beds in seperate rooms with a nice view,47499392,Ingrid,,Bijlmer-Oost,52.322438369631044,4.9869548058092645,Private room,80,2,0,,,6,255
13262666,Laid back town house with garden and terrace!,9015391,Elle,,Bijlmer-Oost,52.31946953204911,4.96476080398304,Private room,42,1,9,2017-01-28,1.11,2,0
9925265,Appartement in Amsterdam South East,51019491,Vladimir,,Bijlmer-Oost,52.320836316836186,4.976739857187362,Entire home/apt,75,2,6,2016-09-19,0.66,1,1
7046849,Lovely room in South East Amsterdam,36953379,Mark,,Bijlmer-Oost,52.32231416120611,4.9615935128732325,Private room,45,1,20,2017-03-19,0.95,1,0
15411166,Amsterdam Bijmer appartment,37566533,Sisiya,,Bijlmer-Oost,52.322343157189835,4.976226247593001,Entire home/apt,120,2,13,2017-03-19,2.67,1,33
16557956,Nice Private Room double bed very close to metro,109033470,Inrico,,Bijlmer-Oost,52.32383605903236,4.962745099351978,Private room,30,1,16,2017-03-17,6.15,1,120
16200584,Wonderful room near metro&Center 2,65918622,Hellen,,Bijlmer-Oost,52.3174224709952,4.979264461847988,Private room,59,1,20,2017-03-13,5.31,5,177
15279131,"Spacius apartment 6 persons, nearby A'dam Centre",12408483,Leon,,Bijlmer-Oost,52.32096123275192,4.968786702797636,Entire home/apt,180,1,12,2017-03-12,1.98,1,7
5362748,Great room south of Amsterdam!,27800005,Edzo,,Bijlmer-Oost,52.32263415001058,4.960662732686624,Private room,45,2,22,2017-03-13,1.05,1,133
15938312,En-suite room Amsterdam (35M2) - Bicycle included!,24314617,Jorim,,Bijlmer-Oost,52.32662709196725,4.967870471282879,Private room,40,30,0,,,2,211
15838026,Spacious one/two bedroom Apartment,3810566,Roberto,,Bijlmer-Oost,52.31654730051987,4.969489672920281,Entire home/apt,70,1,9,2017-03-25,1.86,1,43
14884660,Laid back splitlevel townhouse with garden,9015391,Elle,,Bijlmer-Oost,52.31797300183232,4.965312088359829,Entire home/apt,89,3,1,2016-10-27,0.19,2,69
11650989,Cozy 2-pers private bedroom.,32981372,Cherana & Giovanni,,Bijlmer-Oost,52.31524819385754,4.976901010962061,Private room,45,1,43,2016-11-27,3.43,1,113
4402514,"12,5m2 privet room in a nice flat",22670971,Ara,,Bijlmer-Oost,52.32075380860257,4.975741186930377,Private room,30,7,27,2016-09-13,0.93,1,99
15780868,"sleep in mid of nature, near everything 6/8 pers.",47499392,Ingrid,,Bijlmer-Oost,52.32079152865429,4.986775279824729,Entire home/apt,150,2,3,2017-03-19,0.60,6,248
16669922,Spacious apartment 15 min from center by metro!,110272181,Fon,,Bijlmer-Oost,52.32225602522992,4.972499879158114,Entire home/apt,205,2,0,,,1,15
16426504,Couchsleeper in Living Room,107684763,Petra,,Bijlmer-Oost,52.322836811732245,4.977616494301342,Shared room,65,1,0,,,3,176
15977029,One bedroom available 11m2 in Zuidoost,82025727,Loulou,,Bijlmer-Oost,52.31734065132375,4.968334698647491,Private room,50,1,5,2017-01-01,1.12,1,32
13993768,Spacious appartement near metro,46062643,Jeff,,Bijlmer-Oost,52.31943127407978,4.97826136140649,Entire home/apt,74,1,11,2017-03-05,1.28,1,0
10662701,Modern apartment close to the city!,19214363,Samantha,,Bijlmer-Oost,52.31535252513372,4.9811195839863105,Entire home/apt,100,3,4,2016-05-31,0.29,1,0
16915340,Wonderful room in front of metro station,1179604,NicoAntoine,,Bijlmer-Oost,52.31773755354611,4.979945210934675,Private room,35,1,13,2017-03-30,5.91,1,5
